filename	tile_size	pattern_width	rotations	output_size	ground	attempt_limit	output_periodic	input_periodic	location heuristic	choice heuristic	global constraint	backtracking	attempts	time_start	time_adjacency	adjacency_duration	time solve start	time solve end	solve duration	pattern count	choices	wave	backtracks	propagations	outcome	
Skyline 2	1	3	1	(48, 48)	-1	10	True	True	entropy	weighted	False	False	2	1090497.0468045	1090505.9470752	8.769087899941951	1090514.7161631	None	8.449536700034514	221	131	131	0	262	contradiction	
Skyline 2	1	3	1	(48, 48)	-1	10	True	True	entropy	weighted	False	False	3	1090497.0468045	1090505.9470752	17.219541699858382	1090523.1666169	None	6.910715300124139	221	176	176	0	352	contradiction	
Skyline 2	1	3	1	(48, 48)	-1	10	True	True	entropy	weighted	False	False	4	1090497.0468045	1090505.9470752	24.1310445999261	1090530.0781198	1090544.4302116	14.352091799955815	221	315	315	0	630	success	
Angular	1	3	7	(48, 48)	0	10	True	True	entropy	weighted	False	False	1	1090544.4469809	1090545.4058502	0.0012719999067485332	1090545.4071222	1090549.5592137	4.152091500116512	70	272	272	0	544	success	
City	1	3	7	(80, 80)	0	10	True	True	entropy	weighted	False	False	1	1090549.5751245	1090549.9378435	0.0011094999499619007	1090549.938953	1090561.1094052	11.170452200109139	41	273	273	0	546	success	
Colored City	1	3	7	(48, 48)	0	10	True	True	entropy	weighted	False	False	1	1090561.1511053	1090563.4020905	0.001258299918845296	1090563.4033488	1090567.9389391	4.535590299870819	108	150	150	0	300	success	
Dungeon	1	3	7	(48, 48)	0	10	True	True	entropy	weighted	False	False	1	1090567.955022	1090569.1686863	0.0014136999379843473	1090569.1701	1090576.5054817	7.335381699958816	79	537	537	0	1074	success	
Lake	1	3	7	(60, 60)	0	10	True	True	entropy	weighted	False	False	1	1090576.5227587	1090594.4450023	0.002542200032621622	1090594.4475445	1090720.9327568	126.48521229997277	312	785	785	0	1570	success	
Link	1	3	7	(48, 48)	0	10	True	True	entropy	weighted	False	False	1	1090720.9576301	1090723.6785868	0.0017965000588446856	1090723.6803833	1090728.9972444	5.3168611000292	105	212	212	0	424	success	
Link 2	1	3	7	(48, 48)	0	10	True	True	entropy	weighted	False	False	1	1090729.0135449	1090731.860435	0.0012701000086963177	1090731.8617051	None	7.477078000083566	121	186	186	0	372	contradiction	
Link 2	1	3	7	(48, 48)	0	10	True	True	entropy	weighted	False	False	2	1090729.0135449	1090731.860435	7.4792014001868665	1090739.3396364	1090747.9052946	8.565658199833706	121	397	397	0	794	success	
Mazelike	1	3	7	(48, 48)	0	10	True	True	entropy	weighted	False	False	1	1090747.9314932	1090750.1252544	0.0012731000315397978	1090750.1265275	1090759.5423458	9.41581829986535	93	392	392	0	784	success	
Nested	1	3	7	(48, 48)	0	10	True	True	entropy	weighted	False	False	1	1090759.5608667	1090759.9718123	0.0011569000780582428	1090759.9729692	None	0.9799814000725746	41	41	41	0	82	contradiction	
Nested	1	3	7	(48, 48)	0	10	True	True	entropy	weighted	False	False	2	1090759.5608667	1090759.9718123	0.9818611000664532	1090760.9536734	None	0.3460327999200672	41	57	57	0	114	contradiction	
